Tissue,Sample,Gene_A,Gene_B
BLCA,TCGA-2F-A9KP-01A,FAF1,EPS15
BLCA,TCGA-2F-A9KP-01A,GBF1,UBE2R2
BLCA,TCGA-2F-A9KP-01A,IP6K1,MON1A
BLCA,TCGA-2F-A9KP-01A,NUP188,TMEM8C
BLCA,TCGA-2F-A9KP-01A,OCLN,CCNB1
BLCA,TCGA-2F-A9KP-01A,PHF21A,NUTF2
BLCA,TCGA-2F-A9KP-01A,PKNOX1,PDE9A
BLCA,TCGA-2F-A9KP-01A,RAF1,IQSEC1
BLCA,TCGA-2F-A9KP-01A,SARNP,PAN2
BLCA,TCGA-2F-A9KP-01A,ST3GAL3,ZMAT4
BLCA,TCGA-2F-A9KP-01A,SYS1,IDO2
BLCA,TCGA-2F-A9KP-01A,TRMT61A,AMN
BLCA,TCGA-2F-A9KP-01A,WDR59,CHST5
BLCA,TCGA-2F-A9KR-01A,MSI2,BCAS3
BLCA,TCGA-2F-A9KR-01A,ZNF326,CCDC18
BLCA,TCGA-2F-A9KT-01A,CACNA1I,SYNGR1
BLCA,TCGA-2F-A9KT-01A,CDC42BPG,EHD1
BLCA,TCGA-2F-A9KT-01A,COMMD10,AP3S1
BLCA,TCGA-2F-A9KT-01A,GSTP1,ELP4
BLCA,TCGA-2F-A9KT-01A,RALY,TTI1
BLCA,TCGA-2F-A9KW-01A,CDS1,UGT1A10
BLCA,TCGA-2F-A9KW-01A,CDS1,UGT1A6
BLCA,TCGA-2F-A9KW-01A,KIF13B,PPP2R5B
BLCA,TCGA-2F-A9KW-01A,LIMCH1,UCHL1
BLCA,TCGA-2F-A9KW-01A,PLEKHH1,MPP5
BLCA,TCGA-2F-A9KW-01A,VGLL4,TMEM40
BLCA,TCGA-4Z-AA7M-01A,IL4I1,VSTM2B
BLCA,TCGA-4Z-AA7M-01A,MELK,CNTFR
BLCA,TCGA-4Z-AA7M-01A,NUP62,VSTM2B
BLCA,TCGA-4Z-AA7M-01A,PIGS,SPAG5
BLCA,TCGA-4Z-AA7M-01A,RNF19A,NCALD
BLCA,TCGA-4Z-AA7M-01A,SLC39A11,ADSS
BLCA,TCGA-4Z-AA7M-01A,USP31,PRKCB
BLCA,TCGA-4Z-AA7O-01A,PPFIA1,SHANK2
BLCA,TCGA-4Z-AA7O-01A,RBM4B,FCHSD2
BLCA,TCGA-4Z-AA7Q-01A,AFF1,PTPN13
BLCA,TCGA-4Z-AA7Q-01A,C8orf76,ATAD2
BLCA,TCGA-4Z-AA7Q-01A,FLNB,SLMAP
BLCA,TCGA-4Z-AA7Q-01A,FOXJ3,CCDC23
BLCA,TCGA-4Z-AA7Q-01A,MAN2C1,PTPN9
BLCA,TCGA-4Z-AA7Q-01A,MAP4,NME6
BLCA,TCGA-4Z-AA7Q-01A,MAP4,SPINK8
BLCA,TCGA-4Z-AA7Q-01A,MLF1,RSRC1
BLCA,TCGA-4Z-AA7Q-01A,NCK1,PCCB
BLCA,TCGA-4Z-AA7Q-01A,PCYT1A,TCTEX1D2
BLCA,TCGA-4Z-AA7Q-01A,RPS6KB1,VMP1
BLCA,TCGA-4Z-AA7Q-01A,SAMD8,ADK
BLCA,TCGA-4Z-AA7Q-01A,SERINC2,ZCCHC17
BLCA,TCGA-4Z-AA7Q-01A,SKI,PRKCZ
BLCA,TCGA-4Z-AA7R-01A,ABCC4,UGGT2
BLCA,TCGA-4Z-AA7R-01A,ADAM10,C15orf43
BLCA,TCGA-4Z-AA7R-01A,MCM3,GPR110
BLCA,TCGA-4Z-AA7R-01A,MSL2,STAG1
BLCA,TCGA-4Z-AA7R-01A,SLC9A8,TOM1L2
BLCA,TCGA-4Z-AA7R-01A,SWT1,DCAF8
BLCA,TCGA-4Z-AA7S-01A,CD63,OS9
BLCA,TCGA-4Z-AA7S-01A,PABPC1,VPS13B
BLCA,TCGA-4Z-AA7S-01A,PGAP3,LRRC6
BLCA,TCGA-4Z-AA7S-01A,PGAP3,MYOCD
BLCA,TCGA-4Z-AA7S-01A,RAB3IP,CD63
BLCA,TCGA-4Z-AA7S-01A,RAB3IP,OS9
BLCA,TCGA-4Z-AA7W-01A,SCN8A,KCNC2
BLCA,TCGA-4Z-AA80-01A,ELF1,KIAA0564
BLCA,TCGA-4Z-AA80-01A,KIF13A,KDM1B
