Tissue,Sample,Gene_A,Gene_B
LUAD,TCGA-55-6978-01A-11R-1949-07,PSMA5,FOXP1
LUAD,TCGA-55-6981-01A-11R-1949-07,COPE,TMEM59L
LUAD,TCGA-55-6982-01A-11R-1949-07,AEBP1,NDUFV1
LUAD,TCGA-55-6982-01A-11R-1949-07,LEPRE1,ERI3
LUAD,TCGA-55-6982-01A-11R-1949-07,SLC12A7,TMEM117
LUAD,TCGA-55-6983-01A-11R-1949-07,ARHGDIA,RNF213
LUAD,TCGA-55-6984-01A-11R-1949-07,CEACAM6,SIAE
LUAD,TCGA-55-6985-01A-11R-1949-07,PASK,BOK
LUAD,TCGA-55-6985-01A-11R-1949-07,TMEM108,GAP43
LUAD,TCGA-55-6986-01A-11R-1949-07,DNAJC17,PPP1R14D
LUAD,TCGA-55-6986-01A-11R-1949-07,DNM1L,ITPR2
LUAD,TCGA-55-6987-01A-11R-1949-07,BRWD1,SMC1A
LUAD,TCGA-55-6987-01A-11R-1949-07,CATSPERB,TRIP11
LUAD,TCGA-55-6987-01A-11R-1949-07,LRP8,USP24
LUAD,TCGA-55-7227-01A,RPRD2,CA14
LUAD,TCGA-55-7283-01A-11R-2039-07,TRIO,DNAH5
LUAD,TCGA-55-7570-01A-11R-2039-07,PXN,MSI1
LUAD,TCGA-55-7573-01A-11R-2039-07,SLAMF1,CD1A
LUAD,TCGA-55-7574-01A-11R-2039-07,RBM17,TWSG1
LUAD,TCGA-55-7574-01A-11R-2039-07,RERE,GPR157
LUAD,TCGA-55-7574-01A-11R-2039-07,SHC1,FOXP1
LUAD,TCGA-55-7576-01A-11R-2066-07,C10orf26,SUFU
LUAD,TCGA-55-7576-01A-11R-2066-07,FOXJ3,CLIC6
LUAD,TCGA-55-7576-01A-11R-2066-07,LYST,NID1
LUAD,TCGA-55-7576-01A-11R-2066-07,NAV2,CNTN5
LUAD,TCGA-55-7576-01A-11R-2066-07,RERE,SLC2A5
LUAD,TCGA-55-7576-01A-11R-2066-07,SLC16A5,OTOP2
LUAD,TCGA-55-7576-01A-11R-2066-07,UBXN4,R3HDM1
LUAD,TCGA-55-7725-01A-11R-2170-07,SDC2,CTD-3025N20.2
LUAD,TCGA-55-7726-01A-11R-2170-07,ROD1,SVEP1
LUAD,TCGA-55-7727-01A-11R-2170-07,MLL5,LHFPL3
LUAD,TCGA-55-7727-01A-11R-2170-07,NCOA3,EYA2
LUAD,TCGA-55-7727-01A-11R-2170-07,SLC34A2,EEA1
LUAD,TCGA-55-7815-01A-11R-2170-07,AC093799.1,LRRC23
LUAD,TCGA-55-7815-01A-11R-2170-07,ETHE1,BMP5
LUAD,TCGA-55-7815-01A-11R-2170-07,ITCH,MYL9
LUAD,TCGA-55-7816-01A,AQP1,CFB
LUAD,TCGA-55-7903-01A-11R-2170-07,FZR1,NCLN
LUAD,TCGA-55-7903-01A-11R-2170-07,SHC1,ASH1L
LUAD,TCGA-55-7903-01A-11R-2170-07,TRIB1,NSMCE2
LUAD,TCGA-55-7907-01A-11R-2170-07,FRS2,PIP4K2C
LUAD,TCGA-55-7907-01A-11R-2170-07,SGK3,KRT9
LUAD,TCGA-55-7907-01A-11R-2170-07,UNC50,STARD7
LUAD,TCGA-55-7911-01A-11R-2170-07,BMPR2,AC079354.1
LUAD,TCGA-55-7911-01A-11R-2170-07,DHX8,GPATCH8
LUAD,TCGA-55-7911-01A-11R-2170-07,MMP28,KCNJ12
LUAD,TCGA-55-7913-01B-11R-2241-07,CLIC6,ITSN1
LUAD,TCGA-55-7913-01B-11R-2241-07,NPAS3,AKAP6
LUAD,TCGA-55-7913-01B-11R-2241-07,PLXNB2,SUPT16H
LUAD,TCGA-55-7913-01B-11R-2241-07,STAG2,GRIA3
LUAD,TCGA-55-7914-01A-11R-2170-07,CDKL2,CXCL11
LUAD,TCGA-55-7995-01A-11R-2187-07,PSAP,FOXP1
LUAD,TCGA-55-8085-01A-11R-2241-07,MDM2,NUP107
LUAD,TCGA-55-8085-01A-11R-2241-07,PBRM1,TMEM110-MUSTN1
LUAD,TCGA-55-8085-01A-11R-2241-07,RPS6KA1,LIN28A
LUAD,TCGA-55-8085-01A-11R-2241-07,TFCP2L1,CLASP1
LUAD,TCGA-55-8085-01A-11R-2241-07,VARS,VMP1
LUAD,TCGA-55-8085-01A-11R-2241-07,ZNF414,MYO1F
LUAD,TCGA-55-8087-01A-11R-2241-07,TPD52L2,PDZRN4
LUAD,TCGA-55-8087-01A-11R-2241-07,VPS53,ZZEF1
LUAD,TCGA-55-8089-01A-11R-2241-07,HAS2,HHLA1
LUAD,TCGA-55-8089-01A-11R-2241-07,KLHL7,DNAH11
LUAD,TCGA-55-8091-01A-11R-2241-07,TRIM24,NTRK2
LUAD,TCGA-55-8092-01A-11R-2241-07,RSRC1,NLGN1
LUAD,TCGA-55-8094-01A-11R-2241-07,DYNLT3,U2AF2
LUAD,TCGA-55-8094-01A-11R-2241-07,MTUS1,FGL1
LUAD,TCGA-55-8094-01A-11R-2241-07,PAPOLA,AK7
LUAD,TCGA-55-8094-01A-11R-2241-07,YWHAE,SLC43A2
LUAD,TCGA-55-8205-01A-11R-2241-07,GPR39,ZNF285
LUAD,TCGA-55-8205-01A-11R-2241-07,SPTB,RAB15
LUAD,TCGA-55-8206-01A-11R-2241-07,C20orf12,DTD1
LUAD,TCGA-55-8206-01A-11R-2241-07,DSTN,C20orf12
LUAD,TCGA-55-8206-01A-11R-2241-07,EXD2,GMEB2
LUAD,TCGA-55-8206-01A-11R-2241-07,NAPSA,DDX27
LUAD,TCGA-55-8206-01A-11R-2241-07,PTPRT,EXD2
LUAD,TCGA-55-8299-01A-11R-2287-07,LMAN2,F12
LUAD,TCGA-55-8299-01A-11R-2287-07,MYH9,TXN2
LUAD,TCGA-55-8301-01A-11R-2287-07,NCOR2,SCARB1
LUAD,TCGA-55-8301-01A-11R-2287-07,QKI,PACRG
LUAD,TCGA-55-8301-01A-11R-2287-07,RHPN2,VSTM2B
LUAD,TCGA-55-8301-01A-11R-2287-07,RNF41,PRIM1
LUAD,TCGA-55-8301-01A-11R-2287-07,VPRBP,POC1A
LUAD,TCGA-55-8302-01A-11R-2326-07,FAM126B,ALS2CR12
LUAD,TCGA-55-8505-01A-11R-2403-07,RDH13,PPP6R1
LUAD,TCGA-55-8505-01A-11R-2403-07,SMARCA4,DOCK6
LUAD,TCGA-55-8506-01A-11R-2403-07,CTNND1,ZDHHC5
LUAD,TCGA-55-8506-01A-11R-2403-07,LPCAT1,SDHA
LUAD,TCGA-55-8506-01A-11R-2403-07,NFIX,GCDH
LUAD,TCGA-55-8506-01A-11R-2403-07,NUP107,SHD
LUAD,TCGA-55-8506-01A-11R-2403-07,NXN,ABR
LUAD,TCGA-55-8506-01A-11R-2403-07,PCNX,RAD51B
LUAD,TCGA-55-8506-01A-11R-2403-07,PLCH1,C3orf33
LUAD,TCGA-55-8506-01A-11R-2403-07,SGSM3,TNRC6B
LUAD,TCGA-55-8506-01A-11R-2403-07,TBX1,5-Sep
LUAD,TCGA-55-8507-01A-11R-2403-07,IFI6,C1orf201
LUAD,TCGA-55-8507-01A-11R-2403-07,RICTOR,DTNBP1
LUAD,TCGA-55-8507-01A-11R-2403-07,ZBTB40,VPS13D
LUAD,TCGA-55-8508-01A-11R-2403-07,MTUS1,FGL1
LUAD,TCGA-55-8508-01A-11R-2403-07,TCF25,SPIRE2
LUAD,TCGA-55-8510-01A-11R-2403-07,HIPK3,CAT
LUAD,TCGA-55-8511-01A-11R-2403-07,B4GALT3,BCAS3
LUAD,TCGA-55-8511-01A-11R-2403-07,PTK2,TRAPPC9
LUAD,TCGA-55-8615-01A-11R-2403-07,FIP1L1,SORCS1
LUAD,TCGA-55-8615-01A-11R-2403-07,MCEE,ANXA4
LUAD,TCGA-55-8615-01A-11R-2403-07,RAB1B,MTMR2
LUAD,TCGA-55-8615-01A-11R-2403-07,TNS3,ELMO1
LUAD,TCGA-55-8615-01A-11R-2403-07,YPEL2,HEATR6
LUAD,TCGA-55-8616-01A-11R-2403-07,CLSTN1,CTNNBIP1
LUAD,TCGA-55-8619-01A-11R-2403-07,SLAMF1,CD1C
LUAD,TCGA-55-8620-01A-11R-2403-07,CUL4A,SUPT16H
LUAD,TCGA-55-8620-01A-11R-2403-07,FARS2,AKR1E2
LUAD,TCGA-55-8620-01A-11R-2403-07,MED25,SIGLEC12
LUAD,TCGA-55-8620-01A-11R-2403-07,RPS6KC1,SDCCAG8
LUAD,TCGA-55-8620-01A-11R-2403-07,TFDP1,CUL4A
LUAD,TCGA-55-8620-01A-11R-2403-07,TMEM132D,RALGAPA2
LUAD,TCGA-55-A48Y-01A,AEBP2,PLEKHA5
LUAD,TCGA-55-A48Y-01A,ATAD1,RNLS
LUAD,TCGA-55-A48Y-01A,CDK10,SPG7
LUAD,TCGA-55-A48Y-01A,EML2,DMWD
LUAD,TCGA-55-A48Y-01A,MAP4,SPINK8
LUAD,TCGA-55-A48Y-01A,PPAP2A,ANKRD55
LUAD,TCGA-55-A48Y-01A,PTGR1,C9orf84
LUAD,TCGA-55-A48Y-01A,PTPN23,KLHL18
LUAD,TCGA-55-A48Y-01A,RERE,ENO1
LUAD,TCGA-55-A48Y-01A,SETD2,QRICH1
LUAD,TCGA-55-A48Y-01A,UNK,KIAA0195
LUAD,TCGA-55-A48Y-01A,WWP2,CYB5B
LUAD,TCGA-55-A48Y-01A,ZHX1,ATAD2
LUAD,TCGA-55-A48Z-01A-12R-A24X-07,STIM2,KIAA0146
LUAD,TCGA-55-A490-01A,WARS2,DLG2
LUAD,TCGA-55-A491-01A-11R-A24H-07,CPEB4,STK32A
LUAD,TCGA-55-A491-01A-11R-A24H-07,EEA1,UBE2N
LUAD,TCGA-55-A491-01A-11R-A24H-07,PARVA,MICALCL
LUAD,TCGA-55-A491-01A-11R-A24H-07,SBF2,PDE3B
LUAD,TCGA-55-A492-01A-11R-A24H-07,CAPN5,PELI3
LUAD,TCGA-55-A492-01A-11R-A24H-07,SPINT2,MAP4K1
LUAD,TCGA-55-A493-01A-11R-A24H-07,KIF21A,SLC2A13
LUAD,TCGA-55-A493-01A-11R-A24H-07,LMBR1L,VDR
LUAD,TCGA-55-A493-01A-11R-A24H-07,NOP58,AC079354.1
LUAD,TCGA-55-A493-01A-11R-A24H-07,PARP14,TASP1
LUAD,TCGA-55-A493-01A-11R-A24H-07,PLXNA3,TKTL1
LUAD,TCGA-55-A493-01A-11R-A24H-07,TNFRSF6B,CD74
LUAD,TCGA-55-A493-01A-11R-A24H-07,TUBB2A,SLC22A23
LUAD,TCGA-55-A493-01A-11R-A24H-07,UBE2G2,GART
LUAD,TCGA-55-A493-01A-11R-A24H-07,WWTR1,ANKUB1
LUAD,TCGA-55-A494-01A-11R-A24X-07,NAPSA,RNF213
LUAD,TCGA-55-A4DF-01A-11R-A24H-07,ACTN4,YIF1B
LUAD,TCGA-55-A4DF-01A-11R-A24H-07,HKR1,PPP2R3A
LUAD,TCGA-55-A4DF-01A-11R-A24H-07,ITGB4,TSPAN10
LUAD,TCGA-55-A4DF-01A-11R-A24H-07,KIAA0247,TXNDC16
LUAD,TCGA-55-A4DG-01A-11R-A24H-07,PRR5-ARHGAP8,XRCC6
LUAD,TCGA-55-A4DG-01A-11R-A24H-07,THUMPD2,VSNL1
LUAD,TCGA-55-A57B-01A,NR1D2,UBE2E2
LUAD,TCGA-62-8394-01A-11R-2326-07,CELSR1,CD52
LUAD,TCGA-62-8394-01A-11R-2326-07,NKAIN1,PFAS
LUAD,TCGA-62-8395-01A-11R-2326-07,ADAMTS9,CHL1
LUAD,TCGA-62-8395-01A-11R-2326-07,MBNL1,SGSM3
LUAD,TCGA-62-8395-01A-11R-2326-07,STK11,SRFBP1
LUAD,TCGA-62-8402-01A-11R-2326-07,WARS,PPP2R3C
LUAD,TCGA-62-A46O-01A-11R-A24H-07,ETV6,PLEKHG6
LUAD,TCGA-62-A46O-01A-11R-A24H-07,MAPK1,TOP3B
LUAD,TCGA-62-A46O-01A-11R-A24H-07,RPS6KB1,VMP1
LUAD,TCGA-62-A46O-01A-11R-A24H-07,YAP1,C11orf70
LUAD,TCGA-62-A46R-01A-11R-A24H-07,AMBRA1,ARHGAP1
LUAD,TCGA-62-A46S-01A-11R-A24H-07,SSR1,FARS2
LUAD,TCGA-62-A46S-01A-11R-A24H-07,TMEM64,HHLA1
LUAD,TCGA-62-A46S-01A-11R-A24H-07,TMEM64,OC90
LUAD,TCGA-62-A46U-01A-11R-A24H-07,EFTUD2,C1QL1
LUAD,TCGA-62-A46U-01A-11R-A24H-07,GATAD2B,RP11-574F21.3
LUAD,TCGA-62-A46U-01A-11R-A24H-07,MTMR3,SCNN1B
LUAD,TCGA-62-A46U-01A-11R-A24H-07,SMCHD1,NDC80
LUAD,TCGA-62-A46V-01A-11R-A24H-07,MARVELD2,WDR19
LUAD,TCGA-62-A46V-01A-11R-A24H-07,PVRL2,ZMAT2
LUAD,TCGA-62-A46Y-01A-11R-A24H-07,PHC2,CSMD2
LUAD,TCGA-62-A471-01A-12R-A24H-07,AGFG1,MFF
LUAD,TCGA-64-1676-01A-01R-0946-07,PRKD3,AC016722.2
LUAD,TCGA-64-1676-01A-01R-0946-07,TIA1,BCL11A
LUAD,TCGA-64-1678-01A-01R-0946-07,MYH9,ORAOV1
LUAD,TCGA-64-1678-01A-01R-0946-07,SNAPIN,S100A1
LUAD,TCGA-64-1678-01A-01R-0946-07,TRIOBP,UNC13C
LUAD,TCGA-64-1679-01A-21R-2066-07,AEBP1,ANKS1A
LUAD,TCGA-64-1679-01A-21R-2066-07,ZNF253,BAZ1A
LUAD,TCGA-64-1680-01A-02R-0946-07,EXOC6B,SFXN5
LUAD,TCGA-64-1680-01A-02R-0946-07,MTMR12,ZFR
LUAD,TCGA-64-1681-01A-11R-2066-07,LDLRAD3,TM7SF3
LUAD,TCGA-64-1681-01A-11R-2066-07,MACROD2,TASP1
LUAD,TCGA-64-1681-01A-11R-2066-07,SGMS1,GAB2
LUAD,TCGA-64-5774-01A-01R-1628-07,FRYL,OCIAD2
LUAD,TCGA-64-5775-01A-01R-1628-07,TSFM,9-Mar
LUAD,TCGA-64-5779-01A-01R-1628-07,FAM60A,CD27
LUAD,TCGA-64-5779-01A-01R-1628-07,POFUT2,LRP2
LUAD,TCGA-64-5779-01A-01R-1628-07,SLK,ZFHX3
LUAD,TCGA-64-5781-01A-01R-1628-07,TYW1,C7orf42
LUAD,TCGA-64-5815-01A-01R-1628-07,CCDC6,ANK3
LUAD,TCGA-67-3770-01A-01R-0946-07,FEZ2,RAB10
LUAD,TCGA-67-3770-01A-01R-0946-07,KDM6B,DNAH2
LUAD,TCGA-67-3770-01A-01R-0946-07,MAP4K3,PTPLAD2
LUAD,TCGA-67-3770-01A-01R-0946-07,PSAP,KIF3A
LUAD,TCGA-67-3770-01A-01R-0946-07,ROCK2,DTNB
LUAD,TCGA-67-3771-01A-01R-0946-07,ARMC9,EVL
LUAD,TCGA-67-3771-01A-01R-0946-07,BIRC6,YIPF4
LUAD,TCGA-67-3771-01A-01R-0946-07,CLIC2,VPS39
LUAD,TCGA-67-3771-01A-01R-0946-07,DYRK1A,TTC3
LUAD,TCGA-67-3771-01A-01R-0946-07,GML,C8orf47
LUAD,TCGA-67-3771-01A-01R-0946-07,RPLP2,TALDO1
LUAD,TCGA-67-3773-01A-01R-0946-07,FGF13,DACH2
LUAD,TCGA-67-3773-01A-01R-0946-07,MGA,ANKLE1
LUAD,TCGA-67-3773-01A-01R-0946-07,MGA,PBX4
LUAD,TCGA-67-3774-01A-01R-0946-07,BAZ2A,ACVR1B
LUAD,TCGA-67-3774-01A-01R-0946-07,C2CD3,NCAM1
LUAD,TCGA-67-3774-01A-01R-0946-07,CMC1,GLB1
LUAD,TCGA-67-3774-01A-01R-0946-07,MARK2,DLAT
LUAD,TCGA-67-3774-01A-01R-0946-07,MRPS22,SLC9A9
LUAD,TCGA-67-3774-01A-01R-0946-07,NR1D2,AC106722.1
LUAD,TCGA-67-3774-01A-01R-0946-07,ODZ4,GRIK4
LUAD,TCGA-67-3774-01A-01R-0946-07,PDE3A,CCT2
LUAD,TCGA-67-4679-01B-01R-1755-07,GIPR,PRR12
LUAD,TCGA-67-6215-01A-11R-1755-07,ACSF3,MYH7B
LUAD,TCGA-67-6217-01A-11R-1755-07,AP3D1,MUM1
LUAD,TCGA-67-6217-01A-11R-1755-07,BPTF,BCAS3
LUAD,TCGA-67-6217-01A-11R-1755-07,C10orf26,TRIM8
LUAD,TCGA-67-6217-01A-11R-1755-07,FHIT,FAM19A4
LUAD,TCGA-67-6217-01A-11R-1755-07,SEL1L,SERTAD2
LUAD,TCGA-67-6217-01A-11R-1755-07,TNKS,AC068020.1
LUAD,TCGA-69-7760-01A-11R-2170-07,CAMK2B,KIAA0146
LUAD,TCGA-69-7760-01A-11R-2170-07,FNTA,KIAA0146
LUAD,TCGA-69-7760-01A-11R-2170-07,FRS2,LYZ
LUAD,TCGA-69-7760-01A-11R-2170-07,GNG12,DIRAS3
LUAD,TCGA-69-7760-01A-11R-2170-07,NUDT4,ADD1
LUAD,TCGA-69-7760-01A-11R-2170-07,SIM1,ASCC3
LUAD,TCGA-69-7761-01A-11R-2170-07,CPD,ORMDL3
LUAD,TCGA-69-7761-01A-11R-2170-07,ERBB2,SUPT16H
LUAD,TCGA-69-7761-01A-11R-2170-07,XPNPEP3,C22orf28
LUAD,TCGA-69-7761-01A-11R-2170-07,ZNF197,TAF3
LUAD,TCGA-69-7763-01A-11R-2170-07,FAF1,DCAF6
LUAD,TCGA-69-7764-01A-11R-2170-07,NLK,NF1
LUAD,TCGA-69-7764-01A-11R-2170-07,SUPT5H,NADSYN1
LUAD,TCGA-69-7765-01A-11R-2170-07,CLTC,PTRH2
LUAD,TCGA-69-7765-01A-11R-2170-07,PAFAH1B2,GPR137
LUAD,TCGA-69-7974-01A-11R-2187-07,IPO7,TMEM41B
LUAD,TCGA-69-7974-01A-11R-2187-07,NAPSA,SEC63
LUAD,TCGA-69-7978-01A-11R-2187-07,ATOH8,GNLY
LUAD,TCGA-69-7978-01A-11R-2187-07,HDAC9,SNX10
LUAD,TCGA-69-7978-01A-11R-2187-07,PDLIM1,SORBS1
LUAD,TCGA-69-7978-01A-11R-2187-07,RP11-47I22.3,PRKCH
LUAD,TCGA-69-7978-01A-11R-2187-07,RPS6KB1,VMP1
LUAD,TCGA-69-7978-01A-11R-2187-07,SIRT1,CELF2
LUAD,TCGA-69-7978-01A-11R-2187-07,TGFBI,TNNT1
LUAD,TCGA-69-7978-01A-11R-2187-07,TUBD1,RPS6KB1
LUAD,TCGA-69-7979-01A-11R-2187-07,ABCC4,COL4A2
LUAD,TCGA-69-7979-01A-11R-2187-07,ACACA,SRCIN1
LUAD,TCGA-69-7979-01A-11R-2187-07,ACSL3,PHGDH
LUAD,TCGA-69-7979-01A-11R-2187-07,C11orf49,F2
LUAD,TCGA-69-7979-01A-11R-2187-07,CCDC126,OSBPL3
LUAD,TCGA-69-7979-01A-11R-2187-07,CLOCK,PDGFRA
LUAD,TCGA-69-7979-01A-11R-2187-07,DNMT1,RAVER1
LUAD,TCGA-69-7979-01A-11R-2187-07,DOCK9,SPACA7
LUAD,TCGA-69-7979-01A-11R-2187-07,FARP1,NALCN
LUAD,TCGA-69-7979-01A-11R-2187-07,FARP1,UCHL3
LUAD,TCGA-69-7979-01A-11R-2187-07,GORASP2,AC007405.7
LUAD,TCGA-69-7979-01A-11R-2187-07,GRTP1,COL4A2
LUAD,TCGA-69-7979-01A-11R-2187-07,MAPK1,ARHGEF7
LUAD,TCGA-69-7979-01A-11R-2187-07,MKL1,NTNG1
LUAD,TCGA-69-7979-01A-11R-2187-07,PHF21A,PACSIN3
LUAD,TCGA-69-7979-01A-11R-2187-07,S1PR2,RAVER1
LUAD,TCGA-69-7979-01A-11R-2187-07,SMEK1,FBLN5
LUAD,TCGA-69-7979-01A-11R-2187-07,SNX29,TNFRSF17
LUAD,TCGA-69-7979-01A-11R-2187-07,STAG2,C16orf45
LUAD,TCGA-69-7979-01A-11R-2187-07,TUBGCP3,ATP11A
LUAD,TCGA-69-7979-01A-11R-2187-07,UGGT2,COL4A1
LUAD,TCGA-69-7979-01A-11R-2187-07,XRN1,PRKCE
LUAD,TCGA-69-7979-01A-11R-2187-07,YAP1,C11orf70
LUAD,TCGA-69-7979-01A-11R-2187-07,ZNF638,C2orf74
LUAD,TCGA-69-7979-01A-11R-2187-07,ZNF721,RFPL3-AS1
LUAD,TCGA-69-7980-01A-11R-2187-07,ALDH5A1,MAP3K5
LUAD,TCGA-69-7980-01A-11R-2187-07,RNF216,JAZF1
LUAD,TCGA-69-7980-01A-11R-2187-07,TARBP1,BTBD7
LUAD,TCGA-69-8254-01A-11R-2287-07,HSPG2,KIAA0247
LUAD,TCGA-69-8254-01A-11R-2287-07,RNF139,EIF2A
LUAD,TCGA-69-8255-01A-11R-2287-07,EMID2,BET1
LUAD,TCGA-69-8255-01A-11R-2287-07,FGFR1,SLC20A2
LUAD,TCGA-69-8255-01A-11R-2287-07,GMCL1,ANXA4
LUAD,TCGA-69-8255-01A-11R-2287-07,KAT6A,GOT1L1
LUAD,TCGA-69-8255-01A-11R-2287-07,KAT6A,RAB11FIP1
LUAD,TCGA-69-8255-01A-11R-2287-07,P4HB,TPT1
LUAD,TCGA-69-8255-01A-11R-2287-07,TRAPPC9,KIAA0528
LUAD,TCGA-69-8453-01A-12R-2326-07,LAMA3,CABLES1
LUAD,TCGA-69-8453-01A-12R-2326-07,TRAPPC10,GRIK1
LUAD,TCGA-69-A59K-01A-11R-A262-07,FAM102A,PTGES2
LUAD,TCGA-69-A59K-01A-11R-A262-07,NFKBID,ZNF585B
LUAD,TCGA-69-A59K-01A-11R-A262-07,PEPD,SKAP1
LUAD,TCGA-69-A59K-01A-11R-A262-07,SPOP,GPATCH1
LUAD,TCGA-69-A59K-01A-11R-A262-07,TLCD1,NEK8
LUAD,TCGA-69-A59K-01A-11R-A262-07,ZNF585B,CACNA1G
LUAD,TCGA-69-A59K-01A-11R-A262-07,ZNF675,BRCA1
LUAD,TCGA-71-6725-01A-11R-1858-07,ACTG1,THSD4
LUAD,TCGA-71-6725-01A-11R-1858-07,CCT3,NDUFV1
LUAD,TCGA-71-6725-01A-11R-1858-07,CEACAM6,DDX27
LUAD,TCGA-71-6725-01A-11R-1858-07,CTSB,ARFGEF2
LUAD,TCGA-71-6725-01A-11R-1858-07,HNRNPA2B1,SIAE
LUAD,TCGA-71-6725-01A-11R-1858-07,KDM6A,DCAF7
LUAD,TCGA-71-6725-01A-11R-1858-07,KDM6A,ZNF674
LUAD,TCGA-71-8520-01A,CASP10,CFLAR
LUAD,TCGA-71-8520-01A,DNALI1,ARHGEF6
LUAD,TCGA-71-8520-01A,SNIP1,PUM1
LUAD,TCGA-71-8520-01A,THRAP3,ERI3
LUAD,TCGA-71-8520-01A,TMEM39B,C1orf94
LUAD,TCGA-73-4658-01A-01R-1755-07,LMO7,MED4
LUAD,TCGA-73-4658-01A-01R-1755-07,LRP5,VPS26B
LUAD,TCGA-73-4658-01A-01R-1755-07,SIK3,CD3D
LUAD,TCGA-73-4659-01A-01R-1206-07,FTL,FADS2
LUAD,TCGA-73-4659-01A-01R-1206-07,XPO7,ETV4
LUAD,TCGA-73-4662-01A-01R-1206-07,C20orf194,EVI5
LUAD,TCGA-73-4662-01A-01R-1206-07,CEP170,SDCCAG8
LUAD,TCGA-73-4662-01A-01R-1206-07,SHROOM2,BHLHE41
LUAD,TCGA-73-4666-01A-01R-1206-07,ACTG1,PLEKHA5
LUAD,TCGA-73-4666-01A-01R-1206-07,PDE4D,RP11-325I22.2
LUAD,TCGA-73-4666-01A-01R-1206-07,PSAP,FADS2
LUAD,TCGA-73-4666-01A-01R-1206-07,RAI14,ASB4
LUAD,TCGA-73-4666-01A-01R-1206-07,RPS14,AP1G2
LUAD,TCGA-73-4666-01A-01R-1206-07,SERGEF,ANKRD29
LUAD,TCGA-73-4666-01A-01R-1206-07,SWAP70,ZNF143
LUAD,TCGA-73-4676-01A-01R-1755-07,PPP3R1,SPATS2L
LUAD,TCGA-73-4676-01A-01R-1755-07,RPS6KB1,VMP1
LUAD,TCGA-73-7499-01A-11R-2187-07,C11orf80,RBM14
LUAD,TCGA-73-A9RS-01A,PIK3CB,GRM7
LUAD,TCGA-73-A9RS-01A,ZNF763,CXorf58
LUAD,TCGA-75-5122-01A-01R-1755-07,CNOT2,RAB3IP
LUAD,TCGA-75-5122-01A-01R-1755-07,SRD5A1,ADAMTS16
LUAD,TCGA-75-5125-01A-01R-1755-07,HNRNPM,SLC25A23
LUAD,TCGA-75-5125-01A-01R-1755-07,NCLN,ACSBG2
LUAD,TCGA-75-5126-01A-01R-1755-07,USP32,APPBP2
LUAD,TCGA-75-5146-01A-01R-1628-07,CPNE1,DMD
LUAD,TCGA-75-5146-01A-01R-1628-07,NCOA3,SGK2
LUAD,TCGA-75-5146-01A-01R-1628-07,PMS2,AIMP2
LUAD,TCGA-75-6205-01A-11R-1755-07,LRRN4,MCM8
LUAD,TCGA-75-6207-01A-11R-1755-07,KCTD18,SNED1
LUAD,TCGA-75-6207-01A-11R-1755-07,KIAA1432,C8orf85
LUAD,TCGA-75-6207-01A-11R-1755-07,TRIO,UHRF2
LUAD,TCGA-75-6211-01A-11R-1755-07,ATL2,HNRPLL
LUAD,TCGA-75-6211-01A-11R-1755-07,MGAT4A,C2orf55
LUAD,TCGA-75-6211-01A-11R-1755-07,NFIB,ZDHHC21
LUAD,TCGA-75-6211-01A-11R-1755-07,OSBPL2,DLGAP4
LUAD,TCGA-75-6211-01A-11R-1755-07,TRIB3,DEFB125
LUAD,TCGA-75-6214-01A-41R-1949-07,B4GALT5,TOX2
LUAD,TCGA-75-6214-01A-41R-1949-07,EIF4G2,ZNFX1
LUAD,TCGA-75-6214-01A-41R-1949-07,L3MBTL4,LAMA1
LUAD,TCGA-75-6214-01A-41R-1949-07,LAMA3,ZNF521
LUAD,TCGA-75-6214-01A-41R-1949-07,SMPD3,C16orf73
LUAD,TCGA-75-6214-01A-41R-1949-07,STX5,WDR74
LUAD,TCGA-75-7025-01A-12R-1949-07,APLP2,EIF2AK2
LUAD,TCGA-75-7025-01A-12R-1949-07,CAST,CDHR3
LUAD,TCGA-75-7025-01A-12R-1949-07,VIM,IQCE
LUAD,TCGA-75-7027-01A-11R-1949-07,KIAA1797,PTPLAD2
LUAD,TCGA-75-7027-01A-11R-1949-07,PSAP,FAR1
LUAD,TCGA-75-7031-01A-11R-1949-07,LY75-CD302,CCDC148
LUAD,TCGA-75-7031-01A-11R-1949-07,PLXNB2,UTRN
LUAD,TCGA-75-7031-01A-11R-1949-07,TEX9,CYFIP1
LUAD,TCGA-75-7031-01A-11R-1949-07,TYMP,PPP6R2
LUAD,TCGA-78-7143-01A-11R-2039-07,DCAF5,C14orf39
LUAD,TCGA-78-7143-01A-11R-2039-07,FRS2,ACSS2
LUAD,TCGA-78-7143-01A-11R-2039-07,GALNT11,DPP6
LUAD,TCGA-78-7145-01A-11R-2039-07,RNF24,CDS2
LUAD,TCGA-78-7145-01A-11R-2039-07,TMEM67,STMN2
LUAD,TCGA-78-7146-01A-11R-2039-07,ADAR,GPATCH4
LUAD,TCGA-78-7146-01A-11R-2039-07,ARNT,F5
LUAD,TCGA-78-7146-01A-11R-2039-07,ATF6,GJA5
LUAD,TCGA-78-7146-01A-11R-2039-07,F11R,NOS1AP
LUAD,TCGA-78-7146-01A-11R-2039-07,FBF1,HELZ
LUAD,TCGA-78-7146-01A-11R-2039-07,HELZ,CACNG4
LUAD,TCGA-78-7146-01A-11R-2039-07,MED13,DDX42
