NOL12	TRIOBP
CLCA4	CLCA3
WRB	SH3BGR
RPSA	MOBP
MS4A6E	NYD-SP21
OVOL2	SNX5
MGC12966	PSCD3
PNRC1	ACY1L2
ZNF551	ZNF776
GBP5	GBP4
KIAA1737	TMEM63C
GPR75	ASB3
ATF2	CHN1
SPEN	CLCNKA
SMR3B	MUC7
FGFR1OP	CCR6
HSD17B4	LOC340069
PSG11	PSG6
KIF1B	PGD
ZFHX1B	GTDC1
LOC441108	RAD50
SLCO1B3	LST-3TM12
ZNF673	CHST7
KCTD7	RABGEF1
PSG1	PSG8
SP140	SP100
MUTED	TXNDC5
LRRC8C	LRRC8D
ARMCX5	GPRASP2
MRPL33	BRE
KLHL3	SPOCK1
ZNF366	MRPS27
PSG1	PSG3
DCDC1	DCDC5
MFAP3	GALNT10
LDLRAD3	FLJ14213
PSG2	PSG6
CA13	CA3
GEMIN7	MARK4
HBLD2	GOLPH2
SLC44A4	NEU1
TBR1	SLC4A10
GTF2H4	VARSL
LBXCOR1	PIAS1
OMA1	DAB1
ZNF664	FAM101A
RPL7A	DBH
FAM46C	WDR3
SH3TC2	HTR4
C14orf143	CHES1
TMEM18	SH3YL1
HTN1	MUC7
PSMD1	PTMA
CTCF	PRMT7
LASP1	PPP1R1B
FIP1L1	PDGFRA
MATR3	PURA
DOCK5	PPP2R2A
# chimerdb
ARD1A	ARHGAP4
ARMCX5	GPRASP2
BCAS2	FLJ37099
C1orf175	TTC4
C3orf3	CCDC13
C9orf86	KIAA1984
DCDC1	FLJ46154
FA2H	NSUN4
FBF1	MRPL3
FLJ39963	MRPS17
GIMAP1	GIMAP2
GIMAP5	GIMAP1
LIME1	ZGPAT
LMAN2	MXD3
LOC541565	PDLIM2
LST1	LST-3
MGC2463	STAG3
MIA	RAB4B
MRPL30	LIPT1
NME1	NME2
RAB24	MXD3
SENP3	EIF4A1
WDR50	NME2
NDUFB8	SEC31L2
PAOX	GTP
TRIM6	TRIM34
MS4A5	B1
SNX15	ARL2
SLC26A10	GEFT
FLJ13491	ARL6IP4
VPS33A	DIABLO
SPATA13	MGC48915
THSD1	C13orf9
RIPK3	ADCY4
RNF31	ISGF3G
SYNJ2BP	C14orf112
ZNF410	ZADH1
BDKRB2	BDKRB1
KIAA0101	CSNK1G1
MGC61550	AP3S2
UNKL	C16orf28
Magmas	CORO7
PSMB10	CTRL
ZNF23	ZNF19
ZNF286	MGC51025
PLSCR3	MGC40107
RAB5C	GCN5L2
SMARCE1	MGC45562
RGL3	EPOR
ZNF559	ZNF177
UQCR	MBD3
SCDR10	RPL36
MAG	CD22
PSENEN	F25965
ZNF585A	ZNF585B
APOC4	APOC2
COX6B2	C19orf16
KIR3DL2	KIR2DS4
ZNF497	A1BG
RHOC	PPM1J
GBP7	GBP2
GNG5	CTBS
TNNI3K	FPGT
KIAA0494	ATPAF1
C1QG	C1QA
PGD	KIF1B
TORC2	SLC39A1
PMF1	BGLAP
RBM34	ARID4B
SDCBP2	FKBP1A
WFDC6	SPINLW1
C20orf45	ATP5E
DONSON	CRYZL1
SH3BGR	CHD5
LZTR1	AIFL
RUTBC3	ADSL
RNF103	VPS24
FLJ14397	MRPL53
HMGA1L4	WBP1
C2orf13	GPR73
LOC116143	PPP3R1
BRE	MRPL33
SPDY1	PPP1CB
CD302	LY75
FLJ12610	SLC23A3
ABHD14A	ACY1
CCBP2	ZNF662
ARPC4	TTLL3
FLJ12592	NPHP3
TRIM59	WDR56
LRRC33	PIGX
NDUFC1	OSAP
LOC441108	RAD50
HTR4	SH3TC2
CSNK2B	LY6G5B
CCR6	FGFR1OP
MRPS24	URG4
FLJ22374	INMT
TRIM50B	WBSCR20B
LOC402573	TSC22D4
ABCB8	ACCN3
FBXO16	PRF1
CA13	CA3
FLJ38705	GLI4
GALT	IL11RA
DDX58	TOPORS
IDH3G	PDZK4
CYorf14	TTTY14
SAA2	SAA4
KLRC2	KLRC3
MLC1SA	MYL6
LOC400410	MTHFS
TUBG1	TUBG2
C17orf86	SEC14L1
FXYD1	FXYD7
ALDH16A1	FLT3LG
LILRA4	LILRA5
NOS1AP	LOC400793
CECR7	IL17R
COL8A1	MGC4308
ADH1C	ADH1A
TRIM39	RPP21
C6orf147	C6orf148
# Parra
TMEM56	RWDD3
NME1	NME2
SSSCA1	FAM89B
ACAD10	ALDH2
ANKRD23	ANKRD39
COMMD3	BMI1
HOXD11	HOXD10
SLC2A11	MIF
C10orf32	AS3MT
FLJ20487	C11orf66
HIF1A	SNAPC1
DHTKD1	SEC61A2
GALT	IL11RA
C9orf30	TMEFF1
HSPB2	C11orf52
PLDN	SQRDL
RBM7	REXO2
TCL6	TCL1B
BCL2L2	PABPN1
APC	SRP19
GIMAP2	GIMAP1
HIST1H2AI	HIST1H3H
TNRC5	GNMT
BDKRB2	BDKRB1
C2orf18	CENPA
LIME1	SLC2A4RG
MAG	CD22
ZFP41	GLI4
RPS15A	ARL6IP1
CYP2C18	CYP2C19
ABHD14A	ACY1
CCDC28B	IQCC
MRPS5	ZNF514
C1QA	C1QC
TRIM6	TRIM34
TEX12	BCDO2
DCST1	ADAM15
PPAN	P2RY11
ADSL	RUTBC3
EXOSC7	CLEC3B
SNTB2	VPS4A
ASL	RCP9
VAMP8	VAMP5
C11orf64	MS4A8B
UBE2F	SCLY
NME4	DECR2
STAG3	PVRIG
HSPE1	PREI3
FPGT	TNNI3K
RAD54L2	TEX264
ZNF559	ZNF177
RY1	MXD1
BLOC1S1	RDH5
SENP3	EIF4A1
GPR162	LEPREL2
TMEM141	KIAA1984
PSENEN	F25965
MC1R	TUBB3
MIA	RAB4B
ZNHIT4	WBP1
ATP6V0C	AMDHD2
PLCXD2	PHLDB2
ZADH1	ZNF410
GIMAP1	GIMAP5
MDP-1	NEDD8
DPP3	BBS1
GPI	PDCD2L

